Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-04-01
End Date,2026-04-30
Reporting Period,April 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-04-01,191,186,5,18.4,2.6,411,91.5
Complaints,2026-04-01,122,118,4,18.2,3.3,315,92.1
New Business Enquiries,2026-04-01,270,263,7,19.5,2.6,335,87.1
Policy Servicing,2026-04-01,366,348,18,25.2,4.9,402,87.7
Claims Support,2026-04-02,229,219,10,6.8,4.4,271,89.7
Complaints,2026-04-02,132,129,3,15.1,2.3,271,93.9
New Business Enquiries,2026-04-02,205,195,10,21.5,4.9,296,87.6
Policy Servicing,2026-04-02,440,427,13,21.9,3.0,293,93.9
Claims Support,2026-04-03,189,182,7,10.0,3.7,268,88.6
Complaints,2026-04-03,108,103,5,13.6,4.6,303,97.3
New Business Enquiries,2026-04-03,172,167,5,24.9,2.9,259,92.3
Policy Servicing,2026-04-03,340,321,19,15.1,5.6,318,97.6
Claims Support,2026-04-06,279,268,11,23.8,3.9,407,86.5
Complaints,2026-04-06,221,216,5,17.1,2.3,343,93.3
New Business Enquiries,2026-04-06,322,308,14,20.0,4.3,377,91.3
Policy Servicing,2026-04-06,398,381,17,20.1,4.3,315,90.8
Claims Support,2026-04-07,203,194,9,15.3,4.4,315,92.9
Complaints,2026-04-07,173,166,7,12.7,4.0,404,88.8
New Business Enquiries,2026-04-07,240,233,7,19.0,2.9,332,94.1
Policy Servicing,2026-04-07,337,323,14,8.1,4.2,365,92.0
Claims Support,2026-04-08,252,242,10,23.3,4.0,344,90.2
Complaints,2026-04-08,161,153,8,13.5,5.0,389,91.8
New Business Enquiries,2026-04-08,216,205,11,13.9,5.1,267,92.1
Policy Servicing,2026-04-08,332,320,12,21.8,3.6,373,94.2
Claims Support,2026-04-09,252,245,7,20.0,2.8,265,95.8
Complaints,2026-04-09,170,162,8,12.2,4.7,386,94.5
New Business Enquiries,2026-04-09,196,190,6,13.1,3.1,263,89.6
Policy Servicing,2026-04-09,393,382,11,10.7,2.8,383,97.9
Claims Support,2026-04-10,188,180,8,6.8,4.3,348,96.1
Complaints,2026-04-10,126,120,6,19.4,4.8,279,94.5
New Business Enquiries,2026-04-10,230,224,6,19.8,2.6,410,96.5
Policy Servicing,2026-04-10,293,280,13,20.4,4.4,293,87.8
Claims Support,2026-04-13,275,267,8,20.7,2.9,374,86.6
Complaints,2026-04-13,210,203,7,15.6,3.3,322,97.0
New Business Enquiries,2026-04-13,282,273,9,21.7,3.2,307,95.1
Policy Servicing,2026-04-13,540,527,13,24.6,2.4,342,91.8
Claims Support,2026-04-14,245,237,8,8.2,3.3,311,96.7
Complaints,2026-04-14,166,158,8,21.0,4.8,284,88.8
New Business Enquiries,2026-04-14,273,260,13,25.0,4.8,405,93.2
Policy Servicing,2026-04-14,320,309,11,8.2,3.4,320,97.4
Claims Support,2026-04-15,230,224,6,12.8,2.6,358,89.8
Complaints,2026-04-15,138,128,10,10.2,7.2,264,91.0
New Business Enquiries,2026-04-15,199,190,9,18.0,4.5,378,92.6
Policy Servicing,2026-04-15,413,398,15,22.1,3.6,385,95.7
Claims Support,2026-04-16,249,243,6,9.6,2.4,391,96.2
Complaints,2026-04-16,126,121,5,18.4,4.0,304,90.7
New Business Enquiries,2026-04-16,268,254,14,13.4,5.2,266,87.6
Policy Servicing,2026-04-16,312,302,10,12.3,3.2,316,91.5
Claims Support,2026-04-17,205,199,6,10.5,2.9,286,97.3
Complaints,2026-04-17,105,101,4,23.3,3.8,348,86.1
New Business Enquiries,2026-04-17,180,171,9,17.6,5.0,315,86.1
Policy Servicing,2026-04-17,298,291,7,15.4,2.3,297,91.4
Claims Support,2026-04-20,279,271,8,6.6,2.9,297,95.3
Complaints,2026-04-20,203,193,10,16.1,4.9,371,87.6
New Business Enquiries,2026-04-20,344,329,15,8.8,4.4,361,96.6
Policy Servicing,2026-04-20,423,412,11,24.6,2.6,285,92.1
Claims Support,2026-04-21,216,207,9,25.3,4.2,385,87.3
Complaints,2026-04-21,142,135,7,18.5,4.9,326,88.2
New Business Enquiries,2026-04-21,212,205,7,22.7,3.3,369,92.7
Policy Servicing,2026-04-21,422,409,13,21.3,3.1,319,94.4
