Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-05-01
End Date,2026-05-31
Reporting Period,May 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-05-01,188,181,7,26.3,3.7,280,87.8
Complaints,2026-05-01,124,118,6,24.8,4.8,409,90.7
New Business Enquiries,2026-05-01,196,191,5,10.5,2.6,373,97.3
Policy Servicing,2026-05-01,321,305,16,8.7,5.0,321,96.8
Claims Support,2026-05-04,352,341,11,12.1,3.1,317,93.8
Complaints,2026-05-04,223,214,9,13.9,4.0,365,95.9
New Business Enquiries,2026-05-04,324,314,10,28.6,3.1,302,94.2
Policy Servicing,2026-05-04,498,480,18,9.5,3.6,261,87.8
Claims Support,2026-05-05,220,214,6,17.4,2.7,259,92.3
Complaints,2026-05-05,168,162,6,9.7,3.6,386,95.7
New Business Enquiries,2026-05-05,248,239,9,10.5,3.6,272,92.7
Policy Servicing,2026-05-05,318,303,15,9.8,4.7,357,91.7
Claims Support,2026-05-06,240,232,8,13.7,3.3,367,86.8
Complaints,2026-05-06,135,129,6,19.9,4.4,321,97.2
New Business Enquiries,2026-05-06,244,231,13,14.7,5.3,315,87.8
Policy Servicing,2026-05-06,382,370,12,26.5,3.1,361,97.0
Claims Support,2026-05-07,215,208,7,26.0,3.3,402,95.4
Complaints,2026-05-07,147,140,7,20.2,4.8,323,94.5
New Business Enquiries,2026-05-07,265,252,13,12.1,4.9,411,85.9
Policy Servicing,2026-05-07,422,398,24,10.2,5.7,397,88.8
Claims Support,2026-05-08,206,200,6,16.7,2.9,280,95.4
Complaints,2026-05-08,145,137,8,27.6,5.5,303,96.9
New Business Enquiries,2026-05-08,185,178,7,15.9,3.8,375,91.1
Policy Servicing,2026-05-08,319,305,14,20.3,4.4,336,91.0
Claims Support,2026-05-11,296,284,12,14.7,4.1,402,85.7
Complaints,2026-05-11,228,219,9,26.8,3.9,349,96.5
New Business Enquiries,2026-05-11,306,297,9,8.4,2.9,294,86.7
Policy Servicing,2026-05-11,511,488,23,15.7,4.5,260,90.6
Claims Support,2026-05-12,267,255,12,23.4,4.5,383,95.1
Complaints,2026-05-12,180,171,9,25.5,5.0,402,93.8
New Business Enquiries,2026-05-12,256,244,12,17.3,4.7,327,87.4
Policy Servicing,2026-05-12,356,342,14,11.1,3.9,373,93.9
Claims Support,2026-05-13,201,192,9,27.9,4.5,352,88.3
Complaints,2026-05-13,166,159,7,8.9,4.2,276,91.2
New Business Enquiries,2026-05-13,237,224,13,8.4,5.5,309,97.0
Policy Servicing,2026-05-13,339,333,6,13.7,1.8,402,88.1
Claims Support,2026-05-14,217,211,6,18.7,2.8,349,95.9
Complaints,2026-05-14,150,145,5,22.4,3.3,280,92.9
New Business Enquiries,2026-05-14,271,256,15,26.4,5.5,378,91.1
Policy Servicing,2026-05-14,343,328,15,10.2,4.4,316,94.5
Claims Support,2026-05-15,238,228,10,26.2,4.2,297,94.3
Complaints,2026-05-15,141,135,6,13.9,4.3,291,88.7
New Business Enquiries,2026-05-15,187,180,7,9.6,3.7,341,86.2
Policy Servicing,2026-05-15,379,363,16,15.1,4.2,364,96.2
Claims Support,2026-05-18,324,310,14,14.4,4.3,368,92.5
Complaints,2026-05-18,224,212,12,12.8,5.4,386,85.8
New Business Enquiries,2026-05-18,297,292,5,25.0,1.7,307,92.1
Policy Servicing,2026-05-18,581,559,22,22.7,3.8,352,89.3
Claims Support,2026-05-19,226,220,6,27.2,2.7,305,95.6
Complaints,2026-05-19,148,144,4,12.5,2.7,260,92.6
New Business Enquiries,2026-05-19,204,194,10,18.8,4.9,408,94.2
Policy Servicing,2026-05-19,383,373,10,9.6,2.6,321,89.1
Claims Support,2026-05-20,220,216,4,27.3,1.8,290,89.3
Complaints,2026-05-20,137,130,7,14.8,5.1,332,87.2
New Business Enquiries,2026-05-20,249,240,9,11.2,3.6,401,87.2
Policy Servicing,2026-05-20,426,405,21,20.6,4.9,380,88.9
Claims Support,2026-05-21,270,264,6,27.6,2.2,336,86.0
Complaints,2026-05-21,132,127,5,25.7,3.8,342,85.7
New Business Enquiries,2026-05-21,254,240,14,13.0,5.5,388,91.9
Policy Servicing,2026-05-21,440,419,21,8.7,4.8,412,88.4
Claims Support,2026-05-22,172,164,8,25.6,4.7,335,95.4
Complaints,2026-05-22,130,124,6,22.0,4.6,382,93.2
New Business Enquiries,2026-05-22,187,182,5,20.2,2.7,332,87.7
Policy Servicing,2026-05-22,307,301,6,18.9,2.0,364,97.0
Claims Support,2026-05-25,325,313,12,26.7,3.7,369,96.7
Complaints,2026-05-25,175,171,4,10.8,2.3,393,93.5
New Business Enquiries,2026-05-25,309,300,9,11.2,2.9,340,91.8
Policy Servicing,2026-05-25,447,425,22,26.3,4.9,257,91.6
Claims Support,2026-05-26,205,193,12,10.4,5.9,273,86.1
Complaints,2026-05-26,160,157,3,14.9,1.9,376,93.6
New Business Enquiries,2026-05-26,233,223,10,20.1,4.3,328,93.7
Policy Servicing,2026-05-26,397,376,21,14.3,5.3,349,94.2
Claims Support,2026-05-27,244,233,11,12.3,4.5,336,88.9
Complaints,2026-05-27,171,164,7,26.9,4.1,349,96.8
New Business Enquiries,2026-05-27,202,195,7,17.4,3.5,283,92.3
Policy Servicing,2026-05-27,419,399,20,18.3,4.8,399,96.1
Claims Support,2026-05-28,237,228,9,13.7,3.8,391,88.2
Complaints,2026-05-28,126,120,6,23.1,4.8,292,96.6
New Business Enquiries,2026-05-28,237,226,11,17.6,4.6,269,94.7
Policy Servicing,2026-05-28,431,412,19,9.2,4.4,289,94.8
Claims Support,2026-05-29,169,164,5,24.6,3.0,299,92.9
Complaints,2026-05-29,124,118,6,16.9,4.8,305,92.0
New Business Enquiries,2026-05-29,191,185,6,17.3,3.1,343,94.7
Policy Servicing,2026-05-29,375,354,21,22.7,5.6,279,91.1
