Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-06-01
End Date,2026-06-30
Reporting Period,June 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-06-01,362,350,12,25.9,3.3,280,91.7
Complaints,2026-06-01,213,201,12,7.1,5.6,396,93.1
New Business Enquiries,2026-06-01,415,397,18,13.5,4.3,410,93.1
Policy Servicing,2026-06-01,719,683,36,15.3,5.0,338,86.2
Claims Support,2026-06-02,257,249,8,10.6,3.1,300,90.1
Complaints,2026-06-02,207,193,14,25.3,6.8,283,89.8
New Business Enquiries,2026-06-02,359,336,23,25.0,6.4,400,95.6
Policy Servicing,2026-06-02,487,462,25,23.1,5.1,319,97.3
Claims Support,2026-06-03,315,300,15,7.7,4.8,289,94.3
Complaints,2026-06-03,215,204,11,10.7,5.1,412,90.6
New Business Enquiries,2026-06-03,337,313,24,24.3,7.1,443,87.2
Policy Servicing,2026-06-03,499,483,16,11.7,3.2,405,96.7
Claims Support,2026-06-04,337,322,15,19.5,4.5,434,94.9
Complaints,2026-06-04,206,199,7,16.1,3.4,409,88.4
New Business Enquiries,2026-06-04,359,348,11,24.9,3.1,305,85.6
Policy Servicing,2026-06-04,497,473,24,26.9,4.8,356,96.4
Claims Support,2026-06-05,288,275,13,9.1,4.5,397,93.3
Complaints,2026-06-05,164,155,9,10.4,5.5,380,88.9
New Business Enquiries,2026-06-05,293,275,18,19.8,6.1,430,86.9
Policy Servicing,2026-06-05,472,454,18,17.8,3.8,291,86.8
Claims Support,2026-06-08,330,317,13,14.6,3.9,309,86.1
Complaints,2026-06-08,238,223,15,22.8,6.3,298,94.8
New Business Enquiries,2026-06-08,338,329,9,29.4,2.7,325,89.7
Policy Servicing,2026-06-08,572,532,40,29.4,7.0,408,86.9
Claims Support,2026-06-09,286,266,20,11.5,7.0,315,89.9
Complaints,2026-06-09,166,157,9,21.0,5.4,408,87.2
New Business Enquiries,2026-06-09,357,339,18,25.3,5.0,313,87.7
Policy Servicing,2026-06-09,489,471,18,13.8,3.7,339,88.6
Claims Support,2026-06-10,258,243,15,11.1,5.8,401,87.6
Complaints,2026-06-10,213,202,11,14.9,5.2,367,89.2
New Business Enquiries,2026-06-10,265,257,8,28.8,3.0,412,91.2
Policy Servicing,2026-06-10,569,538,31,15.1,5.4,413,95.0
Claims Support,2026-06-11,294,277,17,27.8,5.8,428,97.6
Complaints,2026-06-11,223,210,13,17.1,5.8,396,94.8
New Business Enquiries,2026-06-11,280,261,19,17.0,6.8,333,88.0
Policy Servicing,2026-06-11,479,450,29,11.5,6.1,376,89.6
Claims Support,2026-06-12,272,263,9,11.7,3.3,298,97.1
Complaints,2026-06-12,179,170,9,18.8,5.0,279,91.9
New Business Enquiries,2026-06-12,222,215,7,11.5,3.2,286,91.5
Policy Servicing,2026-06-12,375,353,22,24.7,5.9,358,89.8
Claims Support,2026-06-15,408,391,17,18.6,4.2,291,91.0
Complaints,2026-06-15,241,231,10,18.6,4.1,323,95.3
New Business Enquiries,2026-06-15,373,360,13,14.3,3.5,411,92.0
