Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-07-01
End Date,2026-07-31
Reporting Period,July 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-07-01,281,266,15,14.8,5.3,362,96.6
Complaints,2026-07-01,172,162,10,17.9,5.8,362,94.1
New Business Enquiries,2026-07-01,253,240,13,12.4,5.1,273,92.2
Policy Servicing,2026-07-01,371,355,16,12.2,4.3,346,92.1
Claims Support,2026-07-02,255,245,10,25.0,3.9,348,85.9
Complaints,2026-07-02,162,156,6,11.7,3.7,379,90.4
New Business Enquiries,2026-07-02,241,229,12,19.3,5.0,329,87.5
Policy Servicing,2026-07-02,442,423,19,10.6,4.3,399,87.8
Claims Support,2026-07-03,231,219,12,28.2,5.2,332,91.6
Complaints,2026-07-03,149,141,8,10.5,5.4,318,93.9
New Business Enquiries,2026-07-03,194,189,5,11.3,2.6,313,86.7
Policy Servicing,2026-07-03,297,286,11,20.3,3.7,375,87.3
Claims Support,2026-07-06,359,344,15,24.0,4.2,321,91.5
Complaints,2026-07-06,175,167,8,15.4,4.6,360,91.3
New Business Enquiries,2026-07-06,309,296,13,8.2,4.2,324,94.6
Policy Servicing,2026-07-06,438,417,21,21.3,4.8,269,89.3
Claims Support,2026-07-07,246,232,14,27.1,5.7,365,86.2
Complaints,2026-07-07,131,127,4,22.9,3.1,351,97.3
New Business Enquiries,2026-07-07,221,209,12,12.5,5.4,328,93.8
Policy Servicing,2026-07-07,413,391,22,25.2,5.3,296,87.9
Claims Support,2026-07-08,268,252,16,19.3,6.0,375,94.4
Complaints,2026-07-08,161,155,6,25.3,3.7,323,88.3
New Business Enquiries,2026-07-08,233,219,14,27.5,6.0,275,87.8
Policy Servicing,2026-07-08,451,435,16,9.8,3.5,351,85.8
Claims Support,2026-07-09,265,258,7,28.4,2.6,303,90.2
Complaints,2026-07-09,182,171,11,15.7,6.0,399,86.4
New Business Enquiries,2026-07-09,215,201,14,14.8,6.5,380,94.8
Policy Servicing,2026-07-09,406,391,15,21.9,3.7,392,88.0
Claims Support,2026-07-10,229,216,13,12.1,5.7,381,90.1
Complaints,2026-07-10,132,128,4,14.1,3.0,273,93.4
New Business Enquiries,2026-07-10,254,240,14,15.4,5.5,404,86.2
Policy Servicing,2026-07-10,369,354,15,18.5,4.1,428,91.5
Claims Support,2026-07-13,284,274,10,25.1,3.5,409,89.7
Complaints,2026-07-13,179,168,11,26.0,6.1,311,85.7
New Business Enquiries,2026-07-13,322,308,14,13.2,4.3,355,94.6
Policy Servicing,2026-07-13,492,471,21,21.2,4.3,298,93.8
Claims Support,2026-07-14,207,198,9,9.7,4.3,425,92.6
Complaints,2026-07-14,163,158,5,26.8,3.1,365,95.2
New Business Enquiries,2026-07-14,279,268,11,14.4,3.9,320,94.3
Policy Servicing,2026-07-14,441,429,12,24.5,2.7,333,97.2
Claims Support,2026-07-15,271,258,13,12.5,4.8,270,95.1
Complaints,2026-07-15,162,156,6,17.3,3.7,331,95.0
New Business Enquiries,2026-07-15,286,275,11,9.1,3.8,326,94.4
Policy Servicing,2026-07-15,450,435,15,17.8,3.3,357,93.5
Claims Support,2026-07-16,228,219,9,9.7,3.9,395,95.1
Complaints,2026-07-16,181,173,8,25.4,4.4,375,94.7
New Business Enquiries,2026-07-16,233,224,9,7.2,3.9,405,89.9
Policy Servicing,2026-07-16,468,442,26,13.3,5.6,416,85.8
Claims Support,2026-07-17,212,206,6,22.1,2.8,335,95.8
Complaints,2026-07-17,135,129,6,22.7,4.4,304,97.3
New Business Enquiries,2026-07-17,194,187,7,19.6,3.6,421,86.5
Policy Servicing,2026-07-17,370,358,12,23.4,3.2,298,92.2
Claims Support,2026-07-20,329,317,12,9.4,3.6,379,93.1
Complaints,2026-07-20,229,216,13,6.7,5.7,364,95.9
New Business Enquiries,2026-07-20,328,310,18,26.9,5.5,297,96.2
Policy Servicing,2026-07-20,576,560,16,20.2,2.8,291,88.5
Claims Support,2026-07-21,268,260,8,6.7,3.0,400,87.3
Complaints,2026-07-21,184,176,8,15.1,4.3,413,95.5
New Business Enquiries,2026-07-21,222,214,8,16.6,3.6,352,88.4
Policy Servicing,2026-07-21,465,441,24,16.5,5.2,359,94.6
Claims Support,2026-07-22,257,242,15,27.2,5.8,326,94.7
Complaints,2026-07-22,137,133,4,18.5,2.9,359,89.0
New Business Enquiries,2026-07-22,291,278,13,25.2,4.5,301,87.3
Policy Servicing,2026-07-22,425,400,25,17.1,5.9,371,94.6
Claims Support,2026-07-23,214,207,7,9.1,3.3,421,97.4
Complaints,2026-07-23,142,137,5,17.2,3.5,404,88.9
New Business Enquiries,2026-07-23,227,221,6,21.8,2.6,380,92.4
Policy Servicing,2026-07-23,403,386,17,23.2,4.2,276,89.3
Claims Support,2026-07-24,234,223,11,19.6,4.7,271,88.1
