Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-08-01
End Date,2026-08-31
Reporting Period,August 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-08-03,268,247,21,20.5,7.8,384,85.5
Complaints,2026-08-03,235,226,9,21.2,3.8,340,87.7
New Business Enquiries,2026-08-03,285,271,14,36.3,4.9,335,85.5
Policy Servicing,2026-08-03,494,471,23,16.9,4.7,368,92.7
Claims Support,2026-08-04,228,215,13,13.2,5.7,324,92.7
Complaints,2026-08-04,135,131,4,19.8,3.0,326,91.1
New Business Enquiries,2026-08-04,234,220,14,14.0,6.0,313,88.7
Policy Servicing,2026-08-04,443,414,29,27.2,6.5,354,91.3
Claims Support,2026-08-05,252,239,13,27.0,5.2,432,86.6
Complaints,2026-08-05,142,133,9,15.9,6.3,435,94.2
New Business Enquiries,2026-08-05,286,269,17,27.3,5.9,353,89.1
Policy Servicing,2026-08-05,350,327,23,34.7,6.6,444,84.8
Claims Support,2026-08-06,259,247,12,32.5,4.6,443,85.6
Complaints,2026-08-06,182,173,9,11.2,4.9,358,85.3
New Business Enquiries,2026-08-06,291,276,15,33.3,5.2,402,88.7
Policy Servicing,2026-08-06,438,411,27,37.9,6.2,401,87.7
Claims Support,2026-08-07,234,226,8,29.1,3.4,396,84.7
Complaints,2026-08-07,139,127,12,34.6,8.6,390,83.2
New Business Enquiries,2026-08-07,189,176,13,20.5,6.9,409,92.8
Policy Servicing,2026-08-07,383,360,23,32.5,6.0,312,89.6
Claims Support,2026-08-10,285,261,24,27.8,8.4,338,94.0
Complaints,2026-08-10,193,186,7,17.1,3.6,436,94.6
New Business Enquiries,2026-08-10,274,253,21,30.8,7.7,430,89.6
Policy Servicing,2026-08-10,591,566,25,17.1,4.2,296,90.5
Claims Support,2026-08-11,282,259,23,18.7,8.2,314,84.2
Complaints,2026-08-11,134,123,11,28.3,8.2,369,94.2
New Business Enquiries,2026-08-11,225,209,16,25.9,7.1,341,94.3
Policy Servicing,2026-08-11,431,414,17,13.3,3.9,302,87.2
Claims Support,2026-08-12,249,237,12,32.1,4.8,405,84.4
Complaints,2026-08-12,152,144,8,36.4,5.3,289,88.9
New Business Enquiries,2026-08-12,267,248,19,16.0,7.1,386,91.9
Policy Servicing,2026-08-12,335,307,28,33.5,8.4,381,93.6
Claims Support,2026-08-13,222,204,18,16.2,8.1,415,91.4
Complaints,2026-08-13,152,146,6,27.6,3.9,441,89.9
New Business Enquiries,2026-08-13,285,261,24,37.4,8.4,427,93.0
Policy Servicing,2026-08-13,405,383,22,15.9,5.4,397,83.4
Claims Support,2026-08-14,218,208,10,18.3,4.6,391,87.9
Complaints,2026-08-14,143,135,8,10.7,5.6,349,92.0
New Business Enquiries,2026-08-14,212,194,18,12.2,8.5,285,87.5
Policy Servicing,2026-08-14,358,345,13,29.6,3.6,434,92.0
Claims Support,2026-08-17,256,236,20,24.1,7.8,287,90.5
Complaints,2026-08-17,166,158,8,14.4,4.8,362,88.6
New Business Enquiries,2026-08-17,357,341,16,21.5,4.5,308,92.4
Policy Servicing,2026-08-17,553,529,24,16.2,4.3,332,86.4
Claims Support,2026-08-18,199,183,16,16.3,8.0,364,92.2
Complaints,2026-08-18,173,159,14,35.6,8.1,308,90.2
New Business Enquiries,2026-08-18,218,205,13,28.9,6.0,317,86.2
Policy Servicing,2026-08-18,463,425,38,34.2,8.2,443,90.1
Claims Support,2026-08-19,235,227,8,25.0,3.4,339,90.7
Complaints,2026-08-19,183,174,9,10.0,4.9,286,90.8
New Business Enquiries,2026-08-19,232,214,18,12.1,7.8,412,86.5
Policy Servicing,2026-08-19,424,407,17,31.2,4.0,424,82.9
Claims Support,2026-08-20,246,229,17,27.5,6.9,369,86.6
Complaints,2026-08-20,145,136,9,19.8,6.2,450,89.6
New Business Enquiries,2026-08-20,245,231,14,24.4,5.7,303,93.5
Policy Servicing,2026-08-20,428,409,19,17.9,4.4,381,84.6
Claims Support,2026-08-21,236,225,11,35.2,4.7,333,85.0
Complaints,2026-08-21,125,120,5,18.5,4.0,421,83.5
New Business Enquiries,2026-08-21,223,214,9,34.3,4.0,306,94.3
Policy Servicing,2026-08-21,334,311,23,14.1,6.9,353,94.1
Claims Support,2026-08-24,263,245,18,10.0,6.8,306,88.5
Complaints,2026-08-24,168,155,13,11.7,7.7,400,86.5
New Business Enquiries,2026-08-24,307,295,12,28.4,3.9,414,83.8
Policy Servicing,2026-08-24,503,481,22,35.1,4.4,332,91.1
Claims Support,2026-08-25,216,198,18,36.3,8.3,410,85.1
Complaints,2026-08-25,174,159,15,14.1,8.6,375,87.8
New Business Enquiries,2026-08-25,230,214,16,38.6,7.0,448,84.5
Policy Servicing,2026-08-25,411,377,34,27.7,8.3,351,86.9
Claims Support,2026-08-26,245,231,14,13.6,5.7,338,85.6
Complaints,2026-08-26,145,133,12,33.4,8.3,399,91.0
New Business Enquiries,2026-08-26,261,241,20,37.7,7.7,309,94.6
Policy Servicing,2026-08-26,450,415,35,18.4,7.8,423,85.8
Claims Support,2026-08-27,231,212,19,38.5,8.2,369,93.2
Complaints,2026-08-27,150,139,11,24.9,7.3,394,91.2
New Business Enquiries,2026-08-27,235,219,16,14.3,6.8,436,92.0
Policy Servicing,2026-08-27,364,334,30,33.2,8.2,445,94.5
Claims Support,2026-08-28,189,173,16,11.1,8.5,417,82.9
Complaints,2026-08-28,130,121,9,15.5,6.9,390,88.5
New Business Enquiries,2026-08-28,236,223,13,25.0,5.5,294,88.3
Policy Servicing,2026-08-28,293,277,16,23.0,5.5,422,89.9
Claims Support,2026-08-31,282,265,17,37.7,6.0,306,90.6
Complaints,2026-08-31,219,210,9,21.3,4.1,341,94.1
New Business Enquiries,2026-08-31,265,249,16,10.4,6.0,409,93.3
Policy Servicing,2026-08-31,590,541,49,11.9,8.3,431,92.4
