Amazon Connect - Historical Metrics Report
Instance,aibl-contact-centre-prod
Instance ARN,arn:aws:connect:eu-west-1:community:instance/7c41e8b2-aibl-prod
Report Name,Queue Daily Performance
Time Zone,Europe/Dublin
Interval,Daily
Start Date,2026-09-01
End Date,2026-09-30
Reporting Period,September 2026

Queue Name,Date,Calls Offered,Calls Answered,Calls Abandoned,Avg Speed to Answer (s),Abandonment Rate (%),Avg Handle Time (s),QA Score (%)
Claims Support,2026-09-01,259,243,16,25.4,6.2,309,88.2
Complaints,2026-09-01,174,165,9,9.0,5.2,405,92.7
New Business Enquiries,2026-09-01,211,204,7,12.3,3.3,271,94.3
Policy Servicing,2026-09-01,365,348,17,16.6,4.7,418,87.9
Claims Support,2026-09-02,273,264,9,17.9,3.3,411,93.8
Complaints,2026-09-02,142,134,8,12.6,5.6,338,96.0
New Business Enquiries,2026-09-02,289,281,8,16.7,2.8,277,87.3
Policy Servicing,2026-09-02,462,439,23,17.7,5.0,342,85.9
Claims Support,2026-09-03,255,245,10,25.8,3.9,287,92.0
Complaints,2026-09-03,185,177,8,28.3,4.3,294,92.2
New Business Enquiries,2026-09-03,257,247,10,12.6,3.9,281,96.5
Policy Servicing,2026-09-03,387,363,24,19.9,6.2,309,87.1
Claims Support,2026-09-04,227,217,10,24.2,4.4,330,90.0
Complaints,2026-09-04,153,146,7,12.7,4.6,324,86.7
New Business Enquiries,2026-09-04,198,191,7,19.3,3.5,315,96.7
Policy Servicing,2026-09-04,338,317,21,23.5,6.2,334,95.0
Claims Support,2026-09-07,344,324,20,23.3,5.8,344,93.0
Complaints,2026-09-07,218,206,12,20.5,5.5,289,94.3
New Business Enquiries,2026-09-07,373,358,15,15.5,4.0,356,93.7
Policy Servicing,2026-09-07,527,504,23,11.3,4.4,371,88.0
Claims Support,2026-09-08,220,213,7,8.7,3.2,366,91.9
Complaints,2026-09-08,154,146,8,12.1,5.2,346,93.6
New Business Enquiries,2026-09-08,278,271,7,10.2,2.5,299,95.9
Policy Servicing,2026-09-08,395,383,12,23.6,3.0,357,90.9
Claims Support,2026-09-09,261,248,13,17.2,5.0,382,94.5
Complaints,2026-09-09,174,167,7,23.8,4.0,315,92.0
New Business Enquiries,2026-09-09,257,246,11,18.6,4.3,294,94.2
Policy Servicing,2026-09-09,389,367,22,19.9,5.7,347,91.8
Claims Support,2026-09-10,231,218,13,9.0,5.6,278,95.5
Complaints,2026-09-10,167,159,8,10.4,4.8,331,90.3
New Business Enquiries,2026-09-10,263,253,10,24.0,3.8,333,97.4
Policy Servicing,2026-09-10,345,333,12,19.5,3.5,397,89.0
Claims Support,2026-09-11,192,184,8,20.9,4.2,367,97.4
Complaints,2026-09-11,119,114,5,9.2,4.2,360,94.4
New Business Enquiries,2026-09-11,243,229,14,11.9,5.8,336,95.6
Policy Servicing,2026-09-11,292,280,12,17.2,4.1,286,89.6
Claims Support,2026-09-14,323,307,16,16.8,5.0,387,98.1
Complaints,2026-09-14,208,198,10,23.1,4.8,347,93.6
New Business Enquiries,2026-09-14,355,345,10,20.3,2.8,299,93.3
Policy Servicing,2026-09-14,519,487,32,13.9,6.2,378,86.2
Claims Support,2026-09-15,216,203,13,16.8,6.0,346,88.1
Complaints,2026-09-15,178,169,9,10.5,5.1,421,96.0
New Business Enquiries,2026-09-15,273,263,10,21.7,3.7,427,90.8
Policy Servicing,2026-09-15,442,424,18,25.5,4.1,353,97.3
Claims Support,2026-09-16,265,256,9,20.3,3.4,371,87.9
Complaints,2026-09-16,162,157,5,12.6,3.1,415,86.4
New Business Enquiries,2026-09-16,250,241,9,23.9,3.6,345,97.5
Policy Servicing,2026-09-16,346,336,10,16.9,2.9,272,95.6
Claims Support,2026-09-17,260,248,12,8.4,4.6,401,91.6
Complaints,2026-09-17,155,145,10,17.1,6.5,352,95.7
New Business Enquiries,2026-09-17,269,256,13,12.8,4.8,289,93.3
Policy Servicing,2026-09-17,367,353,14,19.7,3.8,423,89.5
Claims Support,2026-09-18,180,169,11,11.4,6.1,295,97.6
Complaints,2026-09-18,157,152,5,27.8,3.2,323,92.2
New Business Enquiries,2026-09-18,251,237,14,14.1,5.6,268,91.1
Policy Servicing,2026-09-18,379,370,9,17.4,2.4,320,90.7
Claims Support,2026-09-21,343,328,15,28.4,4.4,397,87.1
Complaints,2026-09-21,177,169,8,25.4,4.5,372,95.8
New Business Enquiries,2026-09-21,367,351,16,14.7,4.4,272,94.6
Policy Servicing,2026-09-21,532,509,23,15.6,4.3,422,90.1
Claims Support,2026-09-22,244,231,13,22.5,5.3,404,92.5
Complaints,2026-09-22,180,171,9,11.8,5.0,398,92.5
New Business Enquiries,2026-09-22,267,257,10,9.1,3.7,423,88.0
Policy Servicing,2026-09-22,464,437,27,11.8,5.8,399,89.3
Claims Support,2026-09-23,210,198,12,9.5,5.7,379,95.4
Complaints,2026-09-23,135,127,8,27.4,5.9,413,97.4
New Business Enquiries,2026-09-23,253,238,15,24.0,5.9,390,94.9
Policy Servicing,2026-09-23,460,432,28,15.9,6.1,310,95.4
Claims Support,2026-09-24,199,187,12,14.4,6.0,325,94.5
Complaints,2026-09-24,171,161,10,26.9,5.8,267,87.8
New Business Enquiries,2026-09-24,229,222,7,13.8,3.1,397,86.3
Policy Servicing,2026-09-24,340,328,12,11.9,3.5,348,86.1
Claims Support,2026-09-25,189,182,7,21.5,3.7,321,87.1
Complaints,2026-09-25,128,123,5,18.9,3.9,318,88.3
New Business Enquiries,2026-09-25,242,236,6,15.0,2.5,400,90.2
Policy Servicing,2026-09-25,345,334,11,12.2,3.2,331,91.1
Claims Support,2026-09-28,304,294,10,25.5,3.3,331,92.1
Complaints,2026-09-28,175,167,8,20.4,4.6,393,89.4
New Business Enquiries,2026-09-28,319,306,13,8.4,4.1,361,88.8
Policy Servicing,2026-09-28,567,547,20,13.8,3.5,391,90.4
Claims Support,2026-09-29,261,251,10,18.0,3.8,288,95.0
Complaints,2026-09-29,166,158,8,17.5,4.8,292,89.2
New Business Enquiries,2026-09-29,248,235,13,9.7,5.2,303,97.4
Policy Servicing,2026-09-29,341,330,11,20.3,3.2,357,89.6
Claims Support,2026-09-30,199,193,6,28.9,3.0,348,93.9
Complaints,2026-09-30,165,160,5,21.9,3.0,358,97.1
New Business Enquiries,2026-09-30,266,258,8,15.0,3.0,347,85.9
Policy Servicing,2026-09-30,329,312,17,24.0,5.2,341,93.8
